pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1786035838391,16896,Thigh,-0.015128,-0.070272,1.049688,1.33,-2.52,-0.14,-76
1786035838469,16975,Thigh,-0.015616,-0.06588,1.048224,1.33,-2.59,-0.07,-77
1786035838550,17055,Thigh,-0.016104,-0.06588,1.045296,1.47,-2.73,-0.07,-77
1786035838629,17135,Thigh,-0.014152,-0.06832,1.047736,1.26,-2.52,-0.14,-76
1786035838952,17455,Thigh,-0.013176,-0.067832,1.04676,1.19,-2.66,-0.21,-76
1786035839070,17575,Thigh,-0.0122,-0.067344,1.045784,1.19,-2.52,-0.14,-77
1786035839812,18335,Thigh,-0.014152,-0.068808,1.043344,1.26,-2.52,-0.14,-77
1786035840229,18775,Thigh,-0.015616,-0.06832,1.043344,1.33,-2.52,-0.21,-76
1786035840529,19055,Thigh,-0.012688,-0.068808,1.04432,1.26,-2.52,-0.28,-77
1786035840541,19095,Thigh,-0.012688,-0.066368,1.048224,1.26,-2.66,-0.21,-76
1786035840647,19175,Thigh,-0.014152,-0.069784,1.046272,1.33,-2.66,-0.21,-76
1786035840904,19415,Thigh,-0.017568,-0.074664,1.052616,1.61,-2.73,-0.07,-76
1786035840980,19495,Thigh,-0.013176,-0.06832,1.049688,1.05,-2.59,-0.14,-76
1786035841254,19775,Thigh,-0.012688,-0.066368,1.044808,1.33,-2.52,-0.14,-76
1786035841260,19815,Thigh,-0.01464,-0.067344,1.047736,1.33,-2.52,-0.14,-77
1786035841371,19895,Thigh,-0.012688,-0.066856,1.044808,1.33,-2.52,0,-77
1786035841418,19935,Thigh,-0.015128,-0.069296,1.04676,1.4,-2.66,-0.14,-77
1786035841615,20135,Thigh,-0.01464,-0.06588,1.042368,1.05,-2.59,-0.21,-76
1786035841662,20215,Thigh,-0.015128,-0.069296,1.046272,1.26,-2.52,-0.14,-76
1786035841901,20415,Thigh,-0.013664,-0.066856,1.045784,1.19,-2.52,-0.28,-78
1786035841967,20495,Thigh,-0.015128,-0.067832,1.045296,1.12,-2.52,-0.07,-75
1786035841983,20535,Thigh,-0.0122,-0.06832,1.04676,1.26,-2.66,-0.14,-76
1786035842089,20615,Thigh,-0.016104,-0.067832,1.042368,1.26,-2.66,-0.14,-76
1786035842134,20655,Thigh,-0.014152,-0.067832,1.037976,1.12,-2.52,-0.42,-77
1786035842252,20775,Thigh,-0.011712,-0.06832,1.046272,1.12,-2.45,-0.21,-77
1786035842374,20895,Thigh,-0.013176,-0.069296,1.041392,1.26,-2.59,-0.14,-77
1786035842492,21015,Thigh,-0.015616,-0.066856,1.045296,1.33,-2.66,-0.28,-76
1786035843087,21615,Thigh,-0.013664,-0.069296,1.046272,1.26,-2.59,-0.07,-76
