pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1787063756246,26908,Lumbar,tug,-0.148352,0.867664,0.525088,2.94,0.98,1.33,-50
1787063756246,26924,Lumbar,tug,-0.152744,0.874984,0.516792,1.26,3.01,1.19,-50
1787063756246,26955,Lumbar,tug,-0.169824,0.866688,0.520696,0.63,0.77,0.49,-50
1787063756246,26972,Lumbar,tug,-0.167384,0.862784,0.522648,1.47,-1.89,0.42,-50
1787063756246,26989,Lumbar,tug,-0.163968,0.861808,0.52704,1.82,-3.22,0.63,-50
1787063756246,27006,Lumbar,tug,-0.157624,0.860832,0.527528,1.89,-3.22,0.7,-50
1787063756246,27023,Lumbar,tug,-0.157136,0.860344,0.52704,2.31,-3.01,0.7,-50
1787063756246,27054,Lumbar,tug,-0.1586,0.86864,0.523136,2.94,-2.45,0.07,-50
1787063756246,27071,Lumbar,tug,-0.156648,0.87352,0.519232,2.59,-2.59,0,-50
1787063756246,27088,Lumbar,tug,-0.156648,0.87108,0.51972,1.75,-2.73,-0.07,-50
1787063756865,27262,Lumbar,tug,-0.167384,0.860344,0.525088,1.82,-1.19,1.05,-50
1787063756865,27293,Lumbar,tug,-0.161528,0.863272,0.521672,1.75,-1.47,0.91,-50
1787063756865,27310,Lumbar,tug,-0.162016,0.86376,0.521672,1.96,-1.96,0.84,-50
1787063756865,27327,Lumbar,tug,-0.16348,0.86376,0.524112,2.24,-2.31,0.77,-50
1787063756865,27344,Lumbar,tug,-0.166408,0.864736,0.526552,2.66,-2.94,0.77,-50
1787063756865,27375,Lumbar,tug,-0.160064,0.867176,0.525576,2.45,-2.59,0.56,-50
1787063756865,27392,Lumbar,tug,-0.159576,0.8662,0.5246,2.24,-1.96,0.49,-50
1787063756865,27409,Lumbar,tug,-0.16104,0.865224,0.525576,2.52,-1.75,0.35,-50
1787063756865,27426,Lumbar,tug,-0.162016,0.867664,0.526064,2.87,-2.03,0.35,-50
1787063756865,27443,Lumbar,tug,-0.161528,0.869616,0.528504,2.73,-2.52,0.42,-50
1787063756950,27616,Lumbar,tug,-0.159088,0.87108,0.519232,1.54,-2.17,1.05,-49
1787063756950,27647,Lumbar,tug,-0.155672,0.866688,0.51484,1.05,-1.96,0.77,-49
1787063756950,27664,Lumbar,tug,-0.155184,0.865712,0.513864,0.91,-1.33,0.63,-49
1787063756950,27681,Lumbar,tug,-0.157624,0.862296,0.51728,1.33,-1.4,0.56,-49
1787063756950,27698,Lumbar,tug,-0.1586,0.861808,0.518744,2.03,-1.89,0.77,-49
1787063756950,27729,Lumbar,tug,-0.1586,0.866688,0.526064,2.31,-2.38,0.84,-49
1787063756950,27746,Lumbar,tug,-0.160552,0.866688,0.530456,2.38,-2.24,0.7,-49
1787063756950,27763,Lumbar,tug,-0.164456,0.866688,0.529968,2.31,-2.24,0.7,-49
1787063756950,27780,Lumbar,tug,-0.164944,0.866688,0.528016,2.1,-2.17,0.63,-49
1787063756950,27797,Lumbar,tug,-0.162992,0.866688,0.523136,2.31,-1.82,0.63,-49
1787063757305,27970,Lumbar,tug,-0.162016,0.870104,0.518744,1.68,-0.14,1.4,-49
1787063757305,28001,Lumbar,tug,-0.159088,0.869128,0.514352,1.47,-0.56,1.68,-49
1787063757305,28019,Lumbar,tug,-0.159576,0.869128,0.515328,1.47,-0.63,1.75,-49
