pc_timestamp,arduino_ms,node_position,ax,ay,az,gx,gy,gz,rssi
1785980326023,806801,Thigh,-0.020496,0.040992,1.047248,1.26,-2.52,-0.21,-73
1785980326041,806821,Thigh,-0.016104,0.042456,1.045784,1.26,-2.59,-0.14,-73
1785980326061,806841,Thigh,-0.018056,0.04148,1.043832,1.26,-2.59,-0.21,-73
1785980326080,806861,Thigh,-0.018544,0.041968,1.045784,1.26,-2.59,-0.21,-73
1785980326102,806881,Thigh,-0.018056,0.04392,1.045784,1.26,-2.52,-0.21,-73
1785980326107,806901,Thigh,-0.020008,0.042944,1.044808,1.4,-2.59,-0.21,-73
1785980326142,806921,Thigh,-0.019032,0.043432,1.044808,1.4,-2.66,-0.21,-73
1785980326158,806941,Thigh,-0.018544,0.040992,1.045784,1.33,-2.52,-0.14,-73
1785980326180,806961,Thigh,-0.020984,0.040992,1.045784,1.33,-2.59,-0.28,-72
1785980326187,806981,Thigh,-0.019032,0.042456,1.047736,1.33,-2.59,-0.28,-72
1785980326221,807001,Thigh,-0.020496,0.040992,1.044808,1.26,-2.59,-0.14,-72
1785980326244,807021,Thigh,-0.018056,0.041968,1.045784,1.26,-2.52,-0.28,-72
1785980326261,807041,Thigh,-0.01952,0.04392,1.04432,1.33,-2.66,-0.21,-72
1785980326270,807061,Thigh,-0.020496,0.040504,1.044808,1.33,-2.59,-0.21,-73
1785980326300,807081,Thigh,-0.020008,0.044896,1.044808,1.33,-2.59,-0.21,-73
1785980326319,807101,Thigh,-0.01952,0.040016,1.043832,1.33,-2.73,-0.28,-73
1785980326341,807121,Thigh,-0.020984,0.042944,1.044808,1.33,-2.38,-0.21,-73
1785980326349,807141,Thigh,-0.019032,0.040504,1.047248,1.33,-2.59,-0.21,-73
1785980326381,807161,Thigh,-0.018056,0.04148,1.04432,1.33,-2.66,-0.07,-72
1785980326398,807181,Thigh,-0.01952,0.039528,1.045784,1.4,-2.59,-0.28,-72
1785980326418,807201,Thigh,-0.017568,0.041968,1.046272,1.4,-2.59,-0.21,-72
1785980326432,807221,Thigh,-0.020008,0.042944,1.043832,1.33,-2.52,-0.28,-72
